name,Inf_0,Inf_1,Inf_2,Inf_3,Inf_4,Inf_5,Inf_6,Inf_7,Inf_8,Inf_9,Inf_10,Inf_11,Inf_12
продегустировать,сов,пер,,НБI9у,П1,Пв1,С,,,ППД1в,ППС1,,ДП1
продекларировать,сов,пер,,НБI9у,П1,Пв1,С,,,ППД1в,ППС1,,ДП1
продинамить,сов,пер,,НБII2л,П1,Пв3,С,,,ППД1в,ППС2,,ДП2
продристать,сов,неп,,НБI8щ,П1,Пв2,С,,,ППД1в,,,ДП1
продристаться,сов,неп,,НБI8щ,П1,Пв2,С,,,ППД1в,,,ДП1
продюсировать,нес,пер,,НБI9у,П1,Пв1,,ПНД1,ПНС1,ППД1в,ППС1,ДН1,ДП1
продюсироваться,нес,неп,,НБI9у,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
прожирать,нес,пер,,НБI3,П1,Пв1,,ПНД1,ПНС1,ППД1в,,ДН1,ДП1
прозаседаться,сов,неп,,НБI3,П1,Пв1,С,,,ППД1в,,,ДП1
проинвентаризировать,сов,пер,,НБI9у,П1,Пв1,С,,,ППД1в,ППС1,,ДП1
